COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAME,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,Cod_SPro,UNIVERSITY,ACADEMIC_PROGRAM,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO,G_SC,PERCENTILE,2ND_DECILE,QUARTILE,SEL,SEL_IHE
SB11201210000129,F,Incomplete Professional Education,Complete technique or technology,Technical or professional level employee,Home,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL NUEVO CAMBRIDGE,PRIVATE,ACADEMIC,71,81,61,86,82,EK201830142293,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,INDUSTRIAL ENGINEERING,71,93,71,93,79,181,180,91,5,4,2,2
SB11201210000137,F,Complete Secundary,Complete professional education,Entrepreneur ,Independent professional,Stratum 5,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COL LA QUINTA DEL PUENTE,PRIVATE,ACADEMIC,83,75,66,100,88,EK201830002633,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,97,38,86,98,78,201,182,92,5,4,4,4
SB11201210005154,M,Not sure,Not sure,Independent,Home,Stratum 2,Level 2,Five,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, 20 hours or more per week",CENT EDUC PAULO FREIRE                                                                              ,PRIVATE,ACADEMIC,52,49,38,46,42,EK201830196510,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,17,1,18,43,22,113,113,7,1,1,1,1
SB11201210007504,F,Not sure,Not sure,Other occupation,Independent,Stratum 2,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,LICEO ANDINO,PRIVATE,ACADEMIC,56,55,51,64,73,EK201830031665,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,65,35,76,80,48,137,157,67,4,3,2,2
SB11201210007548,M,Complete professional education,Complete professional education,Executive,Home,Stratum 4,It is not classified by the SISBEN,One,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,LIC TALLER SAN MIGUEL,PRIVATE,ACADEMIC,80,65,76,85,92,EK201830130461,UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INDUSTRIAL ENGINEERING,94,94,98,100,71,189,198,98,5,4,4,2
SB11201210007568,F,Complete professional education,Complete professional education,Independent,Executive,Stratum 6,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,LIC TALLER SAN MIGUEL,PRIVATE,ACADEMIC,71,60,57,61,82,EK201830031817,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,86,15,32,97,36,170,154,63,4,3,4,2
SB11201210007598,M,Complete professional education,Complete professional education,Small entrepreneur ,Executive,Stratum 5,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COL FUNDACION LIC INGLES,PRIVATE,ACADEMIC,71,75,61,75,85,EK201830108919,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,68,8,50,92,53,187,152,59,3,3,2,2
SB11201210007615,F,Incomplete Secundary,Complete Secundary,Entrepreneur ,Independent professional,Stratum 6,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10 or more LMMW,No,COL FUNDACION LIC INGLES,PRIVATE,ACADEMIC,74,67,61,85,96,EK201830002476,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,97,86,94,97,98,188,200,99,5,4,4,4
SB11201210010208,M,Complete Secundary,Complete professional education,Independent,Operator,Stratum 2,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL DE BTO. TECNICO EN COMERCIO Y SISTEMAS HEISENBERG,PRIVATE,TECHNICAL,44,54,61,44,46,EK201830217505,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,51,57,43,3,19,177,133,28,2,2,3,2
SB11201210013577,M,Incomplete technical or technological,Incomplete technical or technological,Independent,Home,Stratum 2,Level 2,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",INSTITUTO DE EXCELENCIA HUMANA Y ACADÉMICA   IDEA,PRIVATE,ACADEMIC,52,55,51,55,65,EK201830126005,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,13,41,22,83,1,112,126,18,1,1,4,2
SB11201210015404,F,Not sure,Not sure,Other occupation,Independent professional,Stratum 3,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COLEGIO BURECHE,PRIVATE,ACADEMIC,74,71,61,78,96,EK201830064818,UNIVERSIDAD DEL NORTE-BARRANQUILLA,INDUSTRIAL ENGINEERING,96,83,93,100,98,187,200,99,5,4,2,4
SB11201210016082,M,Complete technique or technology,Complete Secundary,Technical or professional level employee,Entrepreneur ,Stratum 2,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",LICEO CRISTIANO LOS ANDES,PRIVATE,ACADEMIC,54,47,49,45,43,EK201830038146,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,CIVIL ENGINEERING,64,19,79,10,5,141,133,29,2,2,2,2
SB11201210017060,F,Not sure,Incomplete technical or technological,Small entrepreneur ,Home,Stratum 3,It is not classified by the SISBEN,Five,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,LICEO REPUBLICA DE COLOMBIA,PRIVATE,ACADEMIC,56,62,61,61,50,EK201830065065,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,CIVIL ENGINEERING,41,45,74,56,37,119,148,53,3,3,2,2
SB11201210019041,M,Complete professional education,Complete professional education,Entrepreneur ,Small entrepreneur ,Stratum 6,It is not classified by the SISBEN,Six,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COLEGIO GIMNASIO VERMONT,PRIVATE,ACADEMIC,76,71,64,75,82,EK201830021307,UNIVERSIDAD EAFIT--MEDELLIN,CIVIL ENGINEERING,99,82,80,97,83,180,191,96,5,4,4,4
SB11201210023458,F,Incomplete primary ,Incomplete primary ,Small entrepreneur ,Executive,Stratum 1,Level 1,Two,,No,No,No,No,No,No,No,No,Yes,No,less than 1 LMMW,"Yes, 20 hours or more per week",INSTITUTO REGIONAL COREDI,PRIVATE,ACADEMIC,56,45,59,51,44,EK201830235907,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,46,61,81,36,76,137,157,67,4,3,1,2
SB11201210024129,F,Complete technique or technology,Not sure,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Two,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO DEL SAGRADO CORAZON DE JESUS,PRIVATE,ACADEMIC,62,58,59,55,59,EK201830044344,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,ELECTRONIC ENGINEERING,89,64,77,74,30,172,164,76,4,4,4,2
SB11201210024212,M,Complete professional education,Complete professional education,Small entrepreneur ,Executive,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL SAN FRANCISCO JAVIER,PRIVATE,ACADEMIC,74,67,72,78,68,EK201830018471,UNIVERSIDAD DE NARIÑO-PASTO,ELECTRONIC ENGINEERING,83,69,72,89,8,145,162,73,4,3,4,1
SB11201210024226,M,Complete professional education,Complete professional education,Independent professional,Independent professional,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL SAN FRANCISCO JAVIER,PRIVATE,ACADEMIC,74,64,61,72,88,EK201830016227,UNIVERSIDAD DE NARIÑO-PASTO,ELECTRONIC ENGINEERING,85,76,100,94,75,164,188,95,5,4,4,1
SB11201210024293,M,Complete technique or technology,Complete Secundary,Operator,Independent,Stratum 2,Level 2,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, less than 20 hours per week",INST JORGE ELIECER GAITAN,PRIVATE,ACADEMIC,44,49,45,44,44,EK201830120508,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO,MECHANICAL ENGINEERING,52,8,12,19,65,120,129,22,2,1,2,1
SB11201210024453,M,Complete professional education,Complete professional education,Technical or professional level employee,Technical or professional level employee,Stratum 3,Esta clasificada en otro Level del SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Between 3 and less than 5 LMMW,No,INST SAN FRANCISCO DE ASIS,PRIVATE,ACADEMIC,61,44,53,41,53,EK201830003947,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,ELECTRONIC ENGINEERING,95,86,52,74,59,135,170,82,5,4,2,2
SB11201210024457,M,Complete professional education,Complete professional education,Independent professional,Executive,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL COMFAMILIAR DE NARIÑO SIGLO XXI,PRIVATE,TECHNICAL/ACADEMIC,58,53,51,48,58,EK201830033909,UNIVERSIDAD MARIANA-PASTO,CIVIL ENGINEERING,99,64,54,89,38,90,170,83,5,4,4,2
SB11201210024464,M,Incomplete primary ,Incomplete Secundary,Independent,Home,Stratum 2,It is not classified by the SISBEN,Four,,Yes,No,Yes,No,No,No,No,No,Yes,Yes,less than 1 LMMW,No,COL COMFAMILIAR DE NARIÑO SIGLO XXI,PRIVATE,TECHNICAL/ACADEMIC,60,47,56,56,57,EK201830003931,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,ELECTRONIC ENGINEERING,40,39,49,60,44,168,144,46,3,2,1,2
SB11201210033482,M,Complete primary ,Incomplete primary ,Independent,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,CORPORACION COLEGIO AMERICAS UNIDAS,PRIVATE,ACADEMIC,53,47,36,36,64,EK201830133621,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,INDUSTRIAL ENGINEERING,59,25,37,65,14,126,138,37,2,2,2,3
SB11201210034473,M,Incomplete primary ,Incomplete primary ,0,0,Stratum 2,It is not classified by the SISBEN,Five,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO LEON DE GREIFF,PRIVATE,TECHNICAL/ACADEMIC,67,65,50,72,82,EK201830192453,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,CIVIL ENGINEERING,94,81,22,88,44,174,164,76,4,4,4,2
SB11201210034479,M,Complete professional education,Incomplete Professional Education,Executive,Operator,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO LEON DE GREIFF,PRIVATE,TECHNICAL/ACADEMIC,80,71,68,66,75,EK201830053028,UNIVERSIDAD DEL VALLE-CALI,INDUSTRIAL ENGINEERING,96,99,93,92,74,179,194,97,5,4,1,2
SB11201210034510,M,Complete technique or technology,Complete technique or technology,Executive,Home,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO LEON DE GREIFF,PRIVATE,TECHNICAL/ACADEMIC,83,75,65,100,71,EK201830008559,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,100,92,91,97,91,78,201,99,5,4,2,2
SB11201210034773,M,Complete professional education,Complete technique or technology,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO AMERICANO,PRIVATE,ACADEMIC,69,56,49,63,70,EK201830107507,UNIVERSIDAD DEL VALLE-CALI,INDUSTRIAL ENGINEERING,74,28,15,84,89,108,155,64,4,3,3,2
SB11201210034995,M,Postgraduate education,Complete professional education,Executive,Auxiliary or Administrative,Stratum 6,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COLEGIO COLOMBO BRITANICO,PRIVATE,ACADEMIC,85,71,63,72,92,EK201830193696,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,96,59,74,97,73,81,180,91,5,4,4,2
SB11201210035092,F,Complete Secundary,Complete technique or technology,Technical or professional level employee,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO NUESTRA SEÑORA DE LA CONSOLACION,PRIVATE,TECHNICAL/ACADEMIC,48,56,43,51,54,EK201830094402,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,ELECTRIC ENGINEERING,15,47,36,61,35,117,137,34,2,2,4,3
SB11201210035156,F,Complete technique or technology,Complete technique or technology,Executive,Independent,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO NUESTRA SEÑORA DE LA CONSOLACION,PRIVATE,TECHNICAL/ACADEMIC,48,44,47,61,48,EK201830133623,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,INDUSTRIAL ENGINEERING,46,61,76,75,66,158,161,73,4,3,2,3
SB11201210035276,M,Complete Secundary,Incomplete Secundary,Other occupation,Other occupation,Stratum 4,It is not classified by the SISBEN,Twelve or more,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COLEGIO FRANCISCANO DE FRAY DAMIAN GONZALEZ,PRIVATE,ACADEMIC,54,52,56,52,53,EK201830113120,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,98,62,40,28,62,158,157,67,4,3,2,3
SB11201210035394,M,Complete professional education,Complete professional education,Executive,Other occupation,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COLEGIO FRANCISCANO DE FRAY DAMIAN GONZALEZ,PRIVATE,ACADEMIC,54,62,56,55,43,EK201830191610,UNIVERSIDAD DE SAN BUENAVENTURA-CALI,INDUSTRIAL ENGINEERING,98,100,78,74,93,174,195,98,5,4,4,2
SB11201210035645,M,Complete professional education,Complete Secundary,Independent professional,Independent professional,Stratum 4,It is not classified by the SISBEN,Two,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO MIGUEL CAMACHO PEREA,PRIVATE,ACADEMIC,80,62,76,78,92,EK201830013611,UNIVERSIDAD DEL VALLE-CALI,MECHANICAL ENGINEERING,100,92,99,100,7,227,194,98,5,4,2,2
SB11201210035831,M,Incomplete Professional Education,Incomplete Professional Education,Independent,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO SAN ANTONIO MARIA CLARET,PRIVATE,ACADEMIC,80,53,57,70,62,EK201830041305,UNIVERSIDAD ICESI-CALI,INDUSTRIAL ENGINEERING,77,82,80,81,43,178,169,82,5,4,3,4
SB11201210035865,M,Complete professional education,Complete professional education,Small entrepreneur ,Small entrepreneur ,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO SAN ANTONIO MARIA CLARET,PRIVATE,ACADEMIC,58,60,45,58,75,EK201830123335,UNIVERSIDAD ICESI-CALI,INDUSTRIAL ENGINEERING,98,15,5,89,76,147,155,64,4,3,4,4
SB11201210035904,M,Complete professional education,Incomplete Secundary,Technical or professional level employee,Home,Stratum 5,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COLEGIO SAN ANTONIO MARIA CLARET,PRIVATE,ACADEMIC,74,71,66,70,76,EK201830192370,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,97,88,79,98,71,131,187,95,5,4,4,2
SB11201210035990,M,Complete professional education,Incomplete Professional Education,Executive,Executive,Stratum 5,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COL BERCHMANS,PRIVATE,ACADEMIC,61,60,61,60,54,EK201830192377,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,79,84,78,82,79,157,176,88,5,4,2,2
SB11201210035993,M,Complete professional education,Postgraduate education,Small entrepreneur ,Small entrepreneur ,Stratum 3,It is not classified by the SISBEN,Two,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL BERCHMANS,PRIVATE,ACADEMIC,76,71,74,91,78,EK201830014555,UNIVERSIDAD DEL VALLE-CALI,MECHANICAL ENGINEERING,98,98,79,95,23,106,185,94,5,4,4,2
SB11201210036005,F,Complete professional education,Complete professional education,Independent,Executive,Stratum 5,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL BERCHMANS,PRIVATE,ACADEMIC,62,56,59,61,54,EK201830238226,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,26,9,53,62,88,114,144,47,3,2,4,2
SB11201210036024,M,Complete professional education,Complete Secundary,Independent professional,Home,Stratum 5,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COL BERCHMANS,PRIVATE,ACADEMIC,72,62,61,78,82,EK201830052503,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,MECHANICAL ENGINEERING,95,61,89,97,46,157,179,90,5,4,4,4
SB11201210036284,F,Not sure,Not sure,0,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,0,SANTA MARIANA DE JESÚS,PRIVATE,ACADEMIC,60,60,61,71,62,EK201830192482,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,CIVIL ENGINEERING,70,79,89,88,58,203,174,86,5,4,4,2
SB11201210036425,F,Postgraduate education,Complete Secundary,Technical or professional level employee,Executive,Stratum 4,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO SAN PEDRO CLAVER,PRIVATE,TECHNICAL,50,58,52,52,75,EK201830133663,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,INDUSTRIAL ENGINEERING,60,77,45,74,89,153,165,77,4,4,4,3
SB11201210036456,F,Complete Secundary,Complete Secundary,Independent,Home,Stratum 3,It is not classified by the SISBEN,Four,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO SAN PEDRO CLAVER,PRIVATE,TECHNICAL,44,54,56,55,40,EK201830013933,UNIVERSIDAD DE IBAGUE-IBAGUE,INDUSTRIAL ENGINEERING,31,67,50,65,12,146,143,44,3,2,2,2
SB11201210036779,M,Complete professional education,Incomplete Professional Education,Small entrepreneur ,Small entrepreneur ,Stratum 2,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO MAYOR ALFEREZ REAL,PRIVATE,ACADEMIC,69,67,56,68,64,EK201830117040,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,MECHANICAL ENGINEERING,96,93,87,92,31,205,182,92,5,4,4,3
SB11201210036848,M,Complete technique or technology,Complete technique or technology,Small entrepreneur ,Home,Stratum 2,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,COLEGIO HISPANOAMERICANO,PRIVATE,ACADEMIC,83,62,66,72,82,EK201830044396,UNIVERSIDAD DEL VALLE-CALI,ELECTRONIC ENGINEERING,92,96,95,95,78,168,193,97,5,4,3,2
SB11201210036861,M,Incomplete Professional Education,Complete technique or technology,Technical or professional level employee,Technical or professional level employee,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO HISPANOAMERICANO,PRIVATE,ACADEMIC,80,62,71,81,88,EK201830052146,UNIVERSIDAD DEL VALLE-CALI,ELECTRONIC ENGINEERING,97,93,100,97,46,183,194,97,5,4,2,2
SB11201210036877,M,Postgraduate education,Postgraduate education,Executive,Executive,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COLEGIO HISPANOAMERICANO,PRIVATE,ACADEMIC,83,75,68,81,85,EK201830041292,UNIVERSIDAD ICESI-CALI,INDUSTRIAL ENGINEERING,95,19,5,96,63,91,154,63,4,3,4,4
SB11201210036911,F,Complete professional education,Complete professional education,Small entrepreneur ,Small entrepreneur ,Stratum 5,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO REYES CATOLICOS,PRIVATE,ACADEMIC,63,60,59,75,80,EK201830219219,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,93,71,90,88,11,185,170,82,5,4,4,2
SB11201210037059,M,Complete professional education,Incomplete Professional Education,Other occupation,Home,Stratum 4,It is not classified by the SISBEN,Five,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,INSTITUTO TÉCNICO INDUSTRIAL SAN JUAN BOSCO,PRIVATE,TECHNICAL,47,36,41,44,40,EK201830134891,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,MECHANICAL ENGINEERING,71,7,56,22,43,137,137,35,2,2,2,3
SB11201210037082,M,Complete technique or technology,Complete technique or technology,Technical or professional level employee,Small entrepreneur ,Stratum 3,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,INSTITUTO TÉCNICO INDUSTRIAL SAN JUAN BOSCO,PRIVATE,TECHNICAL,65,62,59,66,54,EK201830133661,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,INDUSTRIAL ENGINEERING,81,55,78,59,77,157,165,77,4,4,2,3
SB11201210037275,F,Complete professional education,Incomplete Professional Education,Independent professional,Independent professional,Stratum 6,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COLEGIO MAYOR SAN ANTONIO DE PADUA,PRIVATE,ACADEMIC,56,51,39,60,55,EK201830192373,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,57,5,15,73,78,85,139,39,2,2,4,2
SB11201210037357,M,Complete professional education,Complete professional education,Independent professional,Independent professional,Stratum 5,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO ANGLO AMERICANO,PRIVATE,ACADEMIC,69,60,76,71,92,EK201830192419,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,90,90,86,100,67,206,189,96,5,4,4,2
SB11201210037436,M,Not sure,Not sure,0,0,Stratum 5,It is not classified by the SISBEN,Two,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,COLEGIO LOS ANDES,PRIVATE,ACADEMIC,67,81,56,73,78,EK201830192390,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,INDUSTRIAL ENGINEERING,79,95,9,72,88,200,165,77,4,4,2,2
SB11201210037523,F,Complete Secundary,Complete professional education,Retired,Independent professional,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COL CIUDADELA EDUC LA PRESENTACION,PRIVATE,TECHNICAL,65,51,45,63,55,EK201830133675,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,INDUSTRIAL ENGINEERING,75,71,92,69,99,162,181,92,5,4,4,3
SB11201210037798,M,Complete technique or technology,Incomplete technical or technological,Independent,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Three,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,COL PARROQ SAN JUAN BAUTISTA,PRIVATE,TECHNICAL,54,49,42,55,40,EK201830192497,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,CIVIL ENGINEERING,77,29,65,51,71,138,154,63,4,3,4,2
SB11201210037866,M,Complete professional education,Complete technique or technology,Technical or professional level employee,Home,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COL PARROQ SAN JUAN BAUTISTA,PRIVATE,TECHNICAL,69,63,58,61,50,EK201830008552,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,99,77,27,68,8,167,155,64,4,3,2,2
